"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
217306.828,169988.71076,2544451.6962,1,1,-8.755,19.973,-21.543,22.9766762744284,20.2914748202322,30.6540634011219,0.493170047440452
217307.929,169989.72628,2544451.6142,1,1,-8.886,20.887,-28.899,30.147581788206,21.0119794004142,36.7475164602997,1.51201410432823
217308.629,169990.63838,2544451.5441,1,1,-8.213,17.589,-29.693,30.4125674893533,18.2640706773034,35.4753511469584,2.42683821253773
217309.329,169991.71335,2544451.4601,1,1,-6.757,13.552,-26.013,26.4435580189817,14.3780444183745,30.0996664765575,3.50511211212088
217309.929,169992.71877,2544451.3861,1,1,-7.75,12.445,-18.993,19.1478507705836,14.4580214714,23.9932193338035,4.51326662588548
217310.429,169993.61955,2544451.3171,1,1,-6.086,13.971,-15.159,16.6744459862401,13.564157513534,21.4947323314341,5.41669234081503
217311.029,169994.75705,2544451.2321,1,1,-4.682,14.642,-7.596,12.3987656781396,11.8439483981732,17.1466761793649,6.55737083174494
217311.528,169995.7286,2544451.1522,1,1,-5.232,16.787,-5.835,13.4131012398853,12.7794026906029,18.5263169032595,7.53222329079935
217312.029,169996.72465,2544451.0731,1,1,-7.92,15.592,-1.607,9.95983173561955,14.4644759600252,17.5618709994123,8.53143509492144
217312.529,169997.74945,2544450.9951,1,1,-7.123,15.394,0.104,10.3588720570664,13.4319377122338,16.9624049297262,9.55921084495763
217312.929,169998.58975,2544450.9202,1,1,-7.986,15.035,-1.546,9.98896206942172,13.8722086841157,17.0943715005846,10.4028571016571
217313.429,169999.66575,2544450.8293,1,1,-9.655,18.138,-6.234,12.6225391277469,17.3706744534718,21.4725132436797,11.4827008914068
217313.829,170000.56652,2544450.7503,1,1,-8.252,17.278,-6.74,12.8268870782472,15.7328750036951,20.2990735749196,12.3869374952407
217314.328,170001.7235,2544450.6526,1,1,-9.211,18.315,-9.9,14.8091673675818,17.2910470440327,22.7660217429396,13.5480458204338
217314.729,170002.70926,2544450.5732,1,1,-9.727,18.936,-10.709,14.5425009950945,18.8781612136266,23.8300085186724,14.5370047798658
217315.129,170003.75455,2544450.4892,1,1,-11.736,18.899,-12.225,15.3527315950654,20.2150971941735,25.3841785764283,15.5856730126155
217315.43,170004.5662,2544450.42,1,1,-12.227,18.266,-15.834,17.585710989691,20.6059362802825,27.0898844774207,16.4002682117423
217315.83,170005.7037,2544450.332,1,1,-11.863,17.77,-20.385,20.6910891522275,21.0696635875985,29.5305247836878,17.5411711392537
217316.129,170006.57172,2544450.2583,1,1,-10.656,15.592,-24.662,25.6266923645742,17.5541357648696,31.0624378309237,18.41233576694
217316.53,170007.784,2544450.158,1,1,-9.778,10.929,-28.076,26.9054914001047,16.7155207372936,31.6751337960868,19.6287627946869
217316.829,170008.70322,2544450.0852,1,1,-7.018,6.763,-25.799,25.0060385502302,11.630861104166,27.5785948518049,20.550864959618
217317.128,170009.64286,2544450.0016,1,1,-4.681,6.699,-23.585,23.7554570540009,7.66282240140786,24.9607809773653,21.4942311642139
217317.429,170010.59902,2544449.9222,1,1,-6.342,8.099,-22.868,22.4654513770951,11.1383878287378,25.0750910068139,22.45368330323
217317.732,170011.5633,2544449.8434,1,1,-3.39,8.832,-23.401,23.5486638530107,9.08644901696512,25.2409018262026,23.42118081174
217318.029,170012.51533,2544449.7634,1,1,-5.401,7.533,-23.954,23.9527447702595,9.27237962827257,25.684840003395,24.3765709346793
217318.329,170013.47862,2544449.6784,1,1,-5.268,6.509,-21.663,21.6965216442735,8.28646019356702,23.225082863146,25.3436061569405
217318.729,170014.75953,2544449.5723,1,1,-7.922,7.483,-20.391,20.1045172432988,11.4172956698993,23.1202563567102,26.6289101343763
217319.029,170015.732,2544449.4862,1,1,-9.267,10.578,-22.477,22.8266847119797,13.4881194782621,26.5139001657621,27.6051928878635
217319.331,170016.70247,2544449.4048,1,1,-11.713,16.169,-26.993,27.3702184846518,19.4454138321205,33.574588292338,28.5790758576179
217319.629,170017.66983,2544449.3223,1,1,-14.975,22.87,-39.811,41.925876665437,23.9671465100576,48.2928902220606,29.5499543510982
217319.93,170018.6362,2544449.234,1,1,-18.092,20.586,-44.655,45.5825968516595,25.8340811576312,52.3943974581252,30.5203522736223
217320.229,170019.60662,2544449.1512,1,1,-14.05,12.497,-37.835,36.5060206995941,21.269113443696,42.2500264378615,31.4943082445318
217320.529,170020.55962,2544449.0672,1,1,-13.291,10.883,-31.379,30.994988032117,17.8617672106913,35.7733421838106,32.4510107092317
217320.829,170021.50233,2544448.9803,1,1,-13.295,11.751,-28.745,28.9247315486534,17.44929671472,33.780438881104,33.3977311366503
217321.23,170022.7454,2544448.877,1,1,-11.936,11.451,-25.709,25.7949995957301,16.4062236317893,30.5703480189546,34.6450878873467
217321.529,170023.65442,2544448.8042,1,1,-11.392,8.409,-22.583,22.3089337407588,14.5874024195685,26.654846351086,35.557021941181
217321.828,170024.56336,2544448.7284,1,1,-9.999,7.912,-13.582,13.5181928300699,12.8183045528279,18.6292906198814,36.4691255562425
217322.129,170025.46926,2544448.6623,1,1,-10.321,8.813,-9.873,10.0446336167422,13.4452026576549,16.7829716975272,37.3774401645999
217322.529,170026.66835,2544448.5683,1,1,-10.722,14.484,-10.005,13.3683812437105,15.6886566640618,20.6118307047191,38.5802209975104
217322.829,170027.56913,2544448.5092,1,1,-13.107,17.772,-13.617,16.4491844634591,20.0620151651597,25.9434022826614,39.4829396909718
217323.129,170028.46072,2544448.4362,1,1,-10.857,20.01,-14.329,19.9925211921083,17.997052158148,26.8997172847597,40.3775176245633
217323.529,170029.64952,2544448.3521,1,1,-14.429,20.826,-18.884,21.8981146609792,22.7814913316624,31.5994267827757,41.569328880038
217323.829,170030.53092,2544448.2892,1,1,-13.773,22.53,-22.682,27.1500842165155,21.786291103263,34.8104805051582,42.4529966094861
217324.229,170031.69913,2544448.2032,1,1,-11.961,20.72,-27.88,30.4534109019482,20.5491626456433,36.7379683842207,43.6243699013891
217324.529,170032.59082,2544448.1422,1,1,-8.374,18.762,-28.053,29.8572186035539,17.8228456274411,34.7722206509737,44.5181447547955
