"GPST","TWD97_x","TWD97_y","Section","Direction","Mag_x","Mag_y","Mag_z","Mag_v","Mag_h","Mag_sum","Grid"
218028.703,169989.4367,2544450.945,1,1,-9.351,21.611,-24.789,26.6591815316239,21.4069867815141,34.1902185281112,0.479099725637157
218029.904,169990.50658,2544450.8566,1,1,-4.683,18.881,-27.253,30.3540588789957,14.1343471221865,33.4835580397305,1.55268344022247
218030.604,169991.39798,2544450.7552,1,1,-2.31,14.584,-23.951,25.6143898723566,11.6439936648435,28.136800759859,2.44987442066583
218031.303,169992.44196,2544450.6261,1,1,-0.406,11.686,-16.58,18.5977330415348,8.10852376920769,20.2885147805353,3.50183068046594
218031.904,169993.44712,2544450.5146,1,1,-1.825,12.788,-14.365,16.4893957255005,10.0656158583489,19.3188196844424,4.51317983453544
218032.403,169994.34065,2544450.4267,1,1,-1.918,14.756,-13.237,17.3167899043413,9.83693124957697,19.9157332026717,5.41102389979293
218033.003,169995.46785,2544450.3247,1,1,-1.852,15.048,-7.337,13.7667668880881,9.70463324649839,16.8435084528135,6.5428432944429
218033.503,169996.41065,2544450.2527,1,1,-3.787,14.101,-4.357,11.7942886106489,9.64664579886281,15.2368966328449,7.48839666331977
218034.103,169997.49695,2544450.1697,1,1,-5.757,13.705,-2.649,10.7418692612154,10.6112920879107,15.099247497806,8.57786865661963
218034.602,169998.38446,2544450.1108,1,1,-10.319,14.002,-0.96,8.94222193519652,14.9497836727389,17.4200851031216,9.46733534600322
218035.202,169999.4831,2544450.0308,1,1,-13.458,17.209,-7.451,11.9642777069036,19.7393238220586,23.0821326137773,10.56891571518
218035.702,170000.4464,2544449.9558,1,1,-13.731,18.344,-11.616,14.9563040851248,20.8873914386952,25.6899621058498,11.5351395263697
218036.203,170001.43232,2544449.8834,1,1,-9.707,19.506,-11.661,17.4379319617802,17.5102065920515,24.7121186060605,12.5237202951414
218036.703,170002.42635,2544449.8021,1,1,-11.564,17.404,-15.728,18.706511693067,18.2773552867243,26.1533037301217,13.5210795306709
218037.203,170003.44085,2544449.7227,1,1,-10.816,16.815,-15.068,17.4185314580102,17.9824766605246,25.0354689390872,14.5386970754519
218037.703,170004.46565,2544449.6454,1,1,-14.142,16.364,-17.256,19.1026811209968,20.0158379786986,27.6685054890936,15.5664144028375
218038.204,170005.4823,2544449.5736,1,1,-13.694,17.475,-21.786,23.0837392739867,20.8487898481088,31.1051612598295,16.585606433602
