ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.04311,0.77565,9.68618,0.01823,0.83909,9.77067,-1.2E-4,-0.0013,-2.7E-4,-9.5,20.842,-19.724,21.601,-4.918,-0.104,5.0,61.3791,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,9,2021-03-23 20:33:26:703
0.03593,0.91456,9.93766,0.01901,0.8403,9.77056,-6.2E-4,-8.7E-4,1.5E-4,-9.574,21.266,-21.504,23.582,-4.922,-0.11,5.0,61.3791,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,109,2021-03-23 20:33:26:803
-0.01677,0.87145,9.72929,0.01831,0.84083,9.77052,-8.9E-4,-8.5E-4,2.3E-4,-9.251,21.591,-22.664,20.548,-4.915,-0.111,5.0,61.3791,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,210,2021-03-23 20:33:26:904
-0.03353,0.78044,9.60475,0.01692,0.84507,9.77016,-4.4E-4,-0.00156,2.1E-4,-9.145,22.235,-21.092,20.694,-4.943,-0.099,5.0,66.1183,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,309,2021-03-23 20:33:27:003
-0.00719,0.76846,9.72211,0.01519,0.84383,9.77027,5.0E-5,-0.00128,5.0E-5,-10.189,20.712,-21.309,23.682,-4.925,-0.088,5.0,66.1183,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,409,2021-03-23 20:33:27:103
-0.00719,0.84271,9.73887,0.01658,0.84097,9.77051,-9.0E-4,-0.00133,-1.1E-4,-9.103,20.531,-21.502,21.451,-4.919,-0.097,5.0,66.1183,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,510,2021-03-23 20:33:27:204
0.0503,0.91456,9.97838,0.01543,0.83979,9.77061,-6.2E-4,-0.00206,-7.0E-5,-9.94,20.933,-23.435,23.501,-4.917,-0.11,5.0,61.8117,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,609,2021-03-23 20:33:27:303
0.09341,0.85229,9.82988,0.01825,0.84148,9.77046,-7.2E-4,-0.00205,1.1E-4,-8.74,20.288,-21.791,22.341,-4.905,-0.096,5.0,61.8117,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,709,2021-03-23 20:33:27:403
0.00479,0.74691,9.65025,0.02222,0.84355,9.77028,-4.6E-4,-3.6E-4,2.2E-4,-9.949,20.509,-20.712,23.668,-4.922,-0.107,5.0,61.8117,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,809,2021-03-23 20:33:27:503
-0.01198,0.83552,9.70534,0.02115,0.84357,9.77028,-2.6E-4,-2.1E-4,-6.0E-5,-10.062,20.969,-22.003,23.566,-4.935,-0.124,5.0,65.6161,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,908,2021-03-23 20:33:27:602
-0.00958,0.90977,9.80114,0.00962,0.84201,9.77043,-3.0E-5,-0.00185,-6.0E-5,-11.155,20.339,-20.142,26.873,-4.923,-0.092,5.0,65.6161,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1008,2021-03-23 20:33:27:702
0.03353,0.85708,9.70534,0.0103,0.843,9.77034,-1.3E-4,-0.00277,4.2E-4,-9.682,21.329,-21.924,23.62,-4.931,-0.06,5.0,65.6161,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1109,2021-03-23 20:33:27:803
0.00718,0.73733,9.7748,0.02408,0.8402,9.77056,-3.9E-4,1.0E-4,2.5E-4,-8.959,22.24,-23.322,20.557,-4.92,-0.099,5.0,65.6161,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1209,2021-03-23 20:33:27:903
-0.06467,0.80678,9.73887,0.01529,0.83897,9.77069,-5.8E-4,-3.2E-4,1.1E-4,-9.416,21.715,-21.97,20.613,-4.922,-0.116,5.0,61.5025,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1308,2021-03-23 20:33:28:002
0.04311,0.92175,9.95203,0.00895,0.84263,9.77038,-3.7E-4,-0.00326,2.7E-4,-9.419,20.723,-21.478,21.537,-4.908,-0.09,5.0,61.5025,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1408,2021-03-23 20:33:28:102
0.06227,0.90977,9.92329,0.01252,0.84173,9.77045,-5.1E-4,-0.00214,4.2E-4,-8.13,21.812,-21.4,18.578,-4.924,-0.073,5.0,61.5025,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1508,2021-03-23 20:33:28:202
-0.03593,0.78283,9.62391,0.02055,0.84198,9.77042,-9.3E-4,-1.4E-4,-6.0E-5,-9.27,22.113,-19.773,20.76,-4.937,-0.11,5.0,63.9688,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1608,2021-03-23 20:33:28:302
0.02635,0.92175,9.88257,0.01669,0.84014,9.77058,-7.2E-4,-2.2E-4,2.7E-4,-10.012,20.871,-22.052,23.594,-4.915,-0.098,5.0,63.9688,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1709,2021-03-23 20:33:28:403
0.06227,0.83073,9.76522,0.01232,0.83935,9.77066,-8.8E-4,-0.00251,2.1E-4,-8.941,21.564,-21.247,20.721,-4.929,-0.07,5.0,63.9688,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1809,2021-03-23 20:33:28:503
0.03832,0.81876,9.65025,0.01588,0.83846,9.77073,-0.001,-0.00192,0.0,-8.371,22.079,-22.26,18.499,-4.903,-0.096,5.0,62.7854,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,1910,2021-03-23 20:33:28:604
0.05988,0.83073,9.66702,0.01892,0.84091,9.77051,-5.1E-4,-2.7E-4,-1.1E-4,-8.864,21.341,-22.232,21.459,-4.905,-0.093,5.0,62.7854,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2009,2021-03-23 20:33:28:703
-0.00479,0.93133,9.85144,0.01799,0.84532,9.77013,-7.7E-4,-0.00129,-1.1E-4,-9.789,20.55,-21.049,23.662,-4.945,-0.106,5.0,62.7854,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2109,2021-03-23 20:33:28:803
0.04551,0.85229,9.77001,0.01289,0.84114,9.7705,-4.0E-4,-0.00149,3.7E-4,-9.063,22.348,-22.553,20.575,-4.912,-0.081,5.0,64.6226,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2209,2021-03-23 20:33:28:903
-0.02635,0.80439,9.71252,0.019,0.83423,9.77109,-9.0E-5,0.00198,-0.00155,-10.028,22.261,-21.758,22.709,-4.88,-0.111,5.0,64.6226,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2308,2021-03-23 20:33:29:002
0.0982,0.81876,9.63109,0.01612,0.84549,9.77012,9.8E-4,0.00299,0.00154,-9.025,21.348,-20.607,21.52,-4.908,-0.111,5.0,64.6226,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2409,2021-03-23 20:33:29:103
-0.08622,0.87145,9.89934,0.01008,0.84943,9.76979,-3.1E-4,0.00509,-4.4E-4,-9.583,21.513,-21.973,22.689,-4.975,-0.1,5.0,65.1675,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2510,2021-03-23 20:33:29:204
-0.03593,0.92654,9.95922,0.00207,0.84773,9.76994,-4.0E-4,-5.9E-4,2.6E-4,-9.416,21.113,-21.145,21.545,-4.969,-0.059,5.0,65.1675,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2610,2021-03-23 20:33:29:304
-0.0982,1.01995,9.67181,-0.01127,0.8458,9.7701,6.9E-4,-0.00114,0.00136,-8.809,19.806,-20.579,22.547,-4.948,0.066,5.0,65.1675,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2709,2021-03-23 20:33:29:403
-0.12454,1.22592,9.59756,-0.01691,0.88383,9.76673,0.0073,0.00207,0.00342,-9.785,21.133,-22.631,23.618,-5.003,0.06,5.0,65.1675,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2809,2021-03-23 20:33:29:503
-0.14371,1.46064,9.59756,-0.03109,0.93657,9.76178,0.01236,0.0025,0.00634,-8.792,21.59,-21.534,20.704,-5.48,0.182,5.0,62.5672,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,2909,2021-03-23 20:33:29:603
-0.15089,1.47501,9.56882,-0.06544,1.06259,9.74869,0.01293,0.00298,0.01201,-9.939,22.244,-24.43,22.587,-5.831,0.279,5.0,62.5672,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3008,2021-03-23 20:33:29:702
-0.11257,1.49896,9.63349,-0.09407,1.16673,9.73654,0.00676,0.00159,0.01544,-9.269,20.495,-21.107,22.392,-6.549,0.464,5.0,62.5672,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3109,2021-03-23 20:33:29:803
-0.08383,1.37681,9.69336,-0.10098,1.20643,9.73164,-0.00304,-4.0E-4,0.02119,-8.836,21.181,-23.706,21.285,-6.833,0.554,5.0,65.1103,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3209,2021-03-23 20:33:29:903
-0.10778,1.29777,9.72689,-0.1097,1.24805,9.72629,-0.00307,-0.0019,0.0251,-9.827,20.484,-21.781,24.369,-7.312,0.646,5.0,65.1103,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3308,2021-03-23 20:33:30:002
0.11496,1.15407,9.55924,-0.0921,1.25641,9.7254,-0.00357,-0.00282,0.02539,-8.143,20.9,-22.131,19.217,-7.35,0.618,5.0,65.1103,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3409,2021-03-23 20:33:30:103
0.13173,1.24748,9.54966,-0.08257,1.25274,9.72596,-0.00283,-7.5E-4,0.02356,-10.237,22.003,-23.423,22.39,-7.339,0.486,5.0,61.7313,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3510,2021-03-23 20:33:30:204
-0.07904,1.384,9.75563,-0.06483,1.25997,9.72516,3.5E-4,0.00202,0.01969,-9.999,20.924,-23.6,23.112,-7.355,0.467,5.0,61.7313,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3609,2021-03-23 20:33:30:303
-0.14131,1.44387,9.81551,-0.06035,1.28037,9.72252,-2.7E-4,0.00408,0.01988,-9.069,21.83,-23.998,20.151,-7.423,0.336,5.0,61.7313,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3708,2021-03-23 20:33:30:402
-0.04551,1.24987,9.79635,-0.06488,1.28568,9.72179,-0.00338,0.00234,0.02348,-8.961,21.501,-23.922,20.146,-7.502,0.356,5.0,61.7313,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3808,2021-03-23 20:33:30:502
-0.0982,1.27861,9.63109,-0.06326,1.28149,9.72235,-0.00178,-0.00204,0.02046,-9.333,21.593,-22.707,20.244,-7.509,0.373,5.0,65.3751,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,3909,2021-03-23 20:33:30:603
0.0958,1.20437,9.57361,-0.04656,1.29126,9.72116,1.5E-4,-0.00906,0.01344,-9.351,21.611,-24.789,20.05,-7.523,0.349,5.0,65.3751,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4009,2021-03-23 20:33:30:703
0.03353,1.33849,9.89934,-0.02971,1.28936,9.72147,-5.0E-5,-0.00524,0.01223,-8.098,22.5,-24.881,17.204,-7.555,0.175,5.0,65.3751,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4109,2021-03-23 20:33:30:803
0.04551,1.33131,9.73408,-0.00968,1.29234,9.72112,5.1E-4,0.00182,0.01224,-8.894,22.593,-25.193,19.121,-7.562,0.101,5.0,61.9246,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4209,2021-03-23 20:33:30:903
-0.08862,1.21395,9.54008,-0.00167,1.29408,9.72089,-7.0E-5,0.00471,0.00937,-8.943,20.68,-25.556,20.392,-7.588,0.031,5.0,61.9246,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4309,2021-03-23 20:33:31:003
0.00479,1.19958,9.62151,-0.00714,1.29184,9.72119,-9.3E-4,0.002,0.00859,-7.151,22.277,-26.908,15.435,-7.583,0.01,5.0,61.9246,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4409,2021-03-23 20:33:31:103
0.05269,1.1876,9.75563,-6.0E-4,1.28735,9.72179,-0.0021,-0.00269,0.00431,-7.406,20.118,-26.613,16.677,-7.543,0.004,5.0,66.2859,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4509,2021-03-23 20:33:31:203
0.26825,1.32173,9.97119,0.0441,1.26307,9.72487,-0.00448,-0.00982,-0.01261,-6.28,19.633,-24.623,14.489,-7.464,-0.082,5.0,66.2859,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4609,2021-03-23 20:33:31:303
0.31855,1.29777,9.81551,0.06873,1.25971,9.72516,-0.0021,-0.00887,-0.02036,-7.33,19.405,-25.591,17.076,-7.38,-0.405,5.0,66.2859,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4709,2021-03-23 20:33:31:403
0.22035,1.2379,9.53289,0.12177,1.25775,9.7249,0.00304,-0.00102,-0.0334,-6.689,19.413,-26.054,16.871,-7.374,-0.596,5.0,61.8018,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4809,2021-03-23 20:33:31:503
0.10059,1.32412,9.5784,0.13595,1.27174,9.72289,0.00346,9.8E-4,-0.04086,-5.539,19.818,-27.015,13.565,-7.408,-0.788,5.0,61.8018,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,4908,2021-03-23 20:33:31:602
-0.00479,1.20676,9.76043,0.13125,1.28134,9.72169,-0.00263,0.00308,-0.04609,-5.565,20.683,-27.658,12.911,-7.451,-0.801,5.0,61.8018,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,5009,2021-03-23 20:33:31:703
-0.10538,1.26185,9.53289,0.10145,1.27974,9.72226,-0.00573,0.00205,-0.04547,-4.171,20.096,-29.044,8.897,-7.498,-0.598,5.0,61.8018,23.000008,120.21943,47.627,NaN,3.001,48.0,184.546,0 / 0,5108,2021-03-23 20:33:31:802
