ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.00958,0.89061,9.92329,-0.0071,0.82395,9.77197,-1.1E-4,-0.00168,1.7E-4,-3.531,17.502,-26.834,11.252,-4.82,0.042,5.0,61.5187,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,8,2021-03-23 20:03:28:890
0.0479,0.75888,9.75324,-0.00721,0.82733,9.77169,1.3E-4,-0.00203,-4.1E-4,-5.327,17.366,-29.122,14.522,-4.839,0.042,5.0,61.6396,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,109,2021-03-23 20:03:28:991
-0.02395,0.74451,9.69815,-0.00524,0.82528,9.77186,2.0E-5,-0.0017,-2.7E-4,-5.3,17.648,-30.566,13.722,-4.827,0.031,5.0,61.6396,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,210,2021-03-23 20:03:29:092
0.03353,0.82834,9.78677,-0.00358,0.82852,9.77159,-3.3E-4,-9.5E-4,5.0E-5,-4.613,17.852,-28.291,13.863,-4.846,0.021,5.0,61.6396,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,309,2021-03-23 20:03:29:191
-0.06227,0.92893,9.8203,-0.00189,0.82409,9.77196,4.6E-4,-0.00194,-5.2E-4,-5.59,17.266,-29.101,17.22,-4.82,0.011,5.0,62.4109,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,408,2021-03-23 20:03:29:290
0.0,0.80199,9.64786,-0.00742,0.82733,9.77169,2.3E-4,-0.00235,-2.8E-4,-5.225,18.406,-29.204,13.842,-4.839,0.044,5.0,62.4109,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,509,2021-03-23 20:03:29:391
-0.0024,0.71098,9.69097,-0.00418,0.82977,9.77148,1.0E-4,-0.00157,2.1E-4,-5.612,16.94,-28.725,17.225,-4.854,0.025,5.0,62.4109,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,608,2021-03-23 20:03:29:490
-0.0479,0.81157,9.61193,-0.00151,0.82456,9.77192,2.3E-4,-5.8E-4,-2.6E-4,-4.233,18.654,-29.865,10.573,-4.823,0.009,5.0,62.2613,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,709,2021-03-23 20:03:29:591
-0.00479,0.93612,9.94245,-0.00603,0.82743,9.77168,-3.7E-4,-0.00125,3.0E-4,-5.477,19.0,-29.189,13.209,-4.84,0.035,5.0,62.2613,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,808,2021-03-23 20:03:29:690
0.06467,0.86906,9.85862,-0.00971,0.83096,9.77138,-2.2E-4,-0.00249,-9.0E-5,-5.703,17.445,-29.088,17.267,-4.861,0.057,5.0,62.2613,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,909,2021-03-23 20:03:29:791
-0.02156,0.70619,9.64067,-0.00516,0.82793,9.77164,8.0E-4,-6.8E-4,-4.6E-4,-5.655,18.176,-27.48,16.569,-4.843,0.03,5.0,62.2613,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1008,2021-03-23 20:03:29:890
0.02156,0.88822,9.69815,-0.00434,0.82406,9.77196,0.00146,-0.00126,-1.2E-4,-5.572,17.042,-30.111,17.171,-4.82,0.025,5.0,61.544,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1108,2021-03-23 20:03:29:990
-0.0503,0.82834,9.75085,-0.00767,0.8388,9.77071,-0.0019,-8.8E-4,5.0E-5,-4.25,17.232,-29.199,11.704,-4.907,0.045,5.0,61.544,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1208,2021-03-23 20:03:30:090
-0.00958,0.91456,9.82509,-0.00748,0.8296,9.7715,-5.1E-4,-0.00181,-1.2E-4,-4.967,17.189,-28.522,14.52,-4.853,0.044,5.0,61.544,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1309,2021-03-23 20:03:30:191
0.01437,0.77086,9.71252,-0.00383,0.82546,9.77185,3.9E-4,-0.00104,1.2E-4,-6.279,18.239,-29.131,16.436,-4.829,0.022,5.0,61.6849,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1409,2021-03-23 20:03:30:291
0.02395,0.70379,9.65504,-0.0092,0.82946,9.7715,-7.1E-4,-0.00199,2.3E-4,-4.265,17.512,-28.148,11.217,-4.852,0.054,5.0,61.6849,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1508,2021-03-23 20:03:30:390
-0.00719,0.86427,9.9185,-0.00845,0.82938,9.77151,4.6E-4,-0.00232,-4.3E-4,-5.636,16.552,-28.748,17.261,-4.851,0.05,5.0,61.6849,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1608,2021-03-23 20:03:30:490
0.01677,0.96486,9.94724,-0.00474,0.8223,9.77211,7.1E-4,-0.0017,-1.0E-4,-6.042,17.079,-29.476,17.247,-4.81,0.028,5.0,61.469,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1709,2021-03-23 20:03:30:591
-0.02395,0.78762,9.64067,-0.00569,0.82877,9.77157,-3.3E-4,-0.00174,-1.1E-4,-5.971,18.637,-30.661,15.602,-4.848,0.033,5.0,61.469,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1809,2021-03-23 20:03:30:691
-0.00719,0.73733,9.67899,-0.00562,0.82806,9.77163,-1.1E-4,-0.0015,-2.6E-4,-5.004,17.782,-28.564,13.826,-4.844,0.033,5.0,61.469,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,1909,2021-03-23 20:03:30:791
-0.06467,0.81876,9.63109,-0.00621,0.82733,9.77169,-2.2E-4,-0.00113,2.9E-4,-5.177,18.75,-28.88,13.21,-4.839,0.036,5.0,62.68,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2009,2021-03-23 20:03:30:891
-0.06467,0.9433,9.81072,-0.00842,0.82811,9.77162,-5.5E-4,-0.00232,-1.3E-4,-5.662,17.041,-29.068,17.263,-4.844,0.049,5.0,62.68,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2108,2021-03-23 20:03:30:990
0.10059,0.90738,9.81791,-0.00743,0.82434,9.77194,2.7E-4,-0.00172,3.4E-4,-4.685,17.196,-29.215,14.53,-4.822,0.044,5.0,62.68,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2209,2021-03-23 20:03:31:091
-0.01916,0.70858,9.74845,-0.00281,0.83599,9.77095,-5.8E-4,-0.00101,-1.3E-4,-4.685,17.196,-29.215,14.53,-4.822,0.044,5.0,62.68,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2309,2021-03-23 20:03:31:191
0.02395,0.79241,9.66223,-0.00845,0.83404,9.77112,-9.0E-5,-0.00193,3.0E-5,-4.125,18.996,-29.317,10.654,-4.879,0.05,5.0,62.7815,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2409,2021-03-23 20:03:31:291
-0.02635,0.88103,9.9209,-0.00922,0.83152,9.77133,3.1E-4,-0.00223,4.0E-4,-6.26,17.244,-29.07,17.262,-4.864,0.054,5.0,62.7815,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2509,2021-03-23 20:03:31:391
-0.06467,0.75409,9.67899,-0.00642,0.83141,9.77134,-1.8E-4,-0.00136,-3.5E-4,-5.122,18.15,-29.817,13.791,-4.852,0.048,5.0,62.7815,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2609,2021-03-23 20:03:31:491
0.03593,0.8954,9.86341,-0.00301,0.82959,9.7715,-5.7E-4,-6.3E-4,9.0E-5,-4.285,17.995,-28.886,11.124,-4.853,0.018,5.0,62.6136,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2708,2021-03-23 20:03:31:590
-0.02874,0.95049,10.01191,-0.00529,0.82873,9.77157,-2.0E-5,-0.00188,-2.3E-4,-4.422,18.177,-28.828,11.144,-4.848,0.031,5.0,62.6136,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2809,2021-03-23 20:03:31:691
0.00239,0.75649,9.60714,-0.00996,0.83181,9.7713,-1.0E-4,-0.00149,-3.2E-4,-5.243,17.843,-28.459,13.906,-4.866,0.058,5.0,62.6136,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,2909,2021-03-23 20:03:31:791
-0.01916,0.70379,9.66941,-0.00577,0.8254,9.77185,2.8E-4,-0.00127,-4.0E-5,-6.393,16.23,-27.502,18.2,-4.828,0.034,5.0,62.0032,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,3010,2021-03-23 20:03:31:892
-0.04311,0.86187,9.6742,-0.00446,0.83108,9.77137,-3.4E-4,-0.00163,-1.3E-4,-5.028,18.03,-29.683,13.758,-4.861,0.026,5.0,62.0032,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,3109,2021-03-23 20:03:31:991
-0.08862,0.92893,9.81072,-0.00778,0.82569,9.77183,1.4E-4,-0.00164,1.1E-4,-4.654,17.588,-29.206,13.847,-4.83,0.046,5.0,62.0032,23.000332,120.219536,45.617,NaN,4.228,8.0,256.247,0 / 0,3211,2021-03-23 20:03:32:093
